ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-00009792,PR-00010085,"Holy Family Early Learning Centre Gowrie","CATHOLIC ARCHDIOCESE OF CANBERRA  AND GOULBURN EDUCATION LIMITED","Centre-Based Care","Holy Family Primary School, 215 Castleton Cres",GOWRIE,ACT,2904,0262927932,,,100,01/01/2012,"Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Sep 2018","Working Towards NQS","Working Towards NQS","Working Towards NQS","Exceeding NQS","Working Towards NQS","Exceeding NQS","Exceeding NQS","Working Towards NQS","Oct 2015",01/01/2025,"February 2024",Yes,Yes,No,No,No,No,No,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009793,PR-00010085,"Holy Trinity Early Learning Centre  Curtin","CATHOLIC ARCHDIOCESE OF CANBERRA  AND GOULBURN EDUCATION LIMITED","Centre-Based Care","Holy Trinity Primary School, 20 Theodore St",CURTIN,ACT,2605,0262817428,,,42,01/01/2012,"Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Sep 2020","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Apr 2016",01/01/2025,"July 2024",Yes,Yes,No,No,No,No,No,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,,,,,No
SE-00009795,PR-00005824,"Communities@Work Illoura Childcare & Education Centre",Communities@Work,"Centre-Based Care","20a Cremean Close",WANNIASSA,ACT,2903,0262936350,,,42,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Feb 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Apr 2019",,"January 2026",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009796,PR-00005824,"Communities@Work Isabella Plains Child Care & Education Centre",Communities@Work,"Centre-Based Care","Isabella Plains Child Care Cen, 130 Ellerston Ave","ISABELLA PLAINS",ACT,2905,0262936361,,,42,21/02/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2018",,"July 2026",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009797,PR-40004076,"Jenny Wren Early Learning by Busy Bees","FEL Child Care Centres 4 Pty Ltd","Centre-Based Care","18 Enderby Street",MAWSON,ACT,2607,0262866199,,,90,01/01/2012,"Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Jul 2021","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Jun 2015",12/10/2018,"April 2026",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009799,PR-00007250,"One Tree Defence Childcare Unit Kangaroo Cottage","One Tree Community Services Inc","Centre-Based Care","19 Benson Road, HMAS Creswell","JERVIS BAY",ACT,2540,0244421173,,,16,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Jun 2023","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Dec 2017",02/01/2019,"May 2024",Yes,No,No,No,No,No,No,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009800,PR-00005841,"Kirinari Early Childhood Centre","Kirinari Early Childhood Centre Incorporated","Centre-Based Care","University of Canberra, Cnr University Drive South & Kirinari St",BRUCE,ACT,2616,0262012339,,,62,01/01/2012,"Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Jun 2023","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Apr 2018",,"July 2025",Yes,No,No,No,No,No,No,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009801,PR-00004547,"KU Braddon Children's Centre","KU Children's Services","Centre-Based Care","Pre-School, 12 Farrer St",BRADDON,ACT,2612,0262572607,,,55,01/01/2012,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Aug 2018","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2013",,"April 2026",Yes,No,No,No,No,No,No,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009802,PR-00010064,"Shared Beginnings Conder","Shared Beginnings AP PTY LTD","Centre-Based Care","Shops, 22 Norman Lindsay St",CONDER,ACT,2906,0262848666,,,90,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2024","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Nov 2019",05/01/2026,"July 2026",Yes,No,No,No,No,No,No,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009803,PR-40013781,"Stepping Stones@Yerrabi Ponds","Stepping Stones Child Care (ACT) Pty Ltd as trustee for the Yerrabi Ponds Trust","Centre-Based Care","Childcare Centre, 327 Gundaroo Dr",GUNGAHLIN,ACT,2912,0409747850,,,120,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2019","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Working Towards NQS","Working Towards NQS","Dec 2016",16/05/2025,"December 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
