service_id,provider_id,rating_tier,service_type,state,number_approved_places,service_age_years,long_day_care,preschool_part_school,preschool_standalone,oshc_after_school,oshc_before_school,oshc_vacation_care,other_service,service_has_conditions,temporarily_closed,annual_open_days,annual_weekly_hours,school_term_open_days,school_term_weekly_hours,holiday_open_days,holiday_weekly_hours,weekly_open_days,max_weekly_hours,operating_pattern,provider_state,provider_age_years,provider_service_count,provider_has_trading_name,provider_has_conditions,provider_state_matches_service
SE-00009792,PR-00010085,Above NQS,Centre-Based Care,ACT,100,14.71,Yes,Yes,No,No,No,No,No,FALSE,No,5,47.5,0,,0,,5,47.5,Annual,ACT,1.9,12,TRUE,FALSE,Yes
SE-00009793,PR-00010085,Above NQS,Centre-Based Care,ACT,42,14.71,Yes,Yes,No,No,No,No,No,FALSE,No,5,47.5,0,,5,47.5,5,47.5,Multiple schedules,ACT,1.9,12,TRUE,FALSE,Yes
SE-00009795,PR-00005824,Meeting NQS,Centre-Based Care,ACT,42,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,52.5,0,,0,,5,52.5,Annual,ACT,14.71,28,TRUE,FALSE,Yes
SE-00009796,PR-00005824,Meeting NQS,Centre-Based Care,ACT,42,14.57,Yes,No,No,No,No,No,No,FALSE,No,5,52.5,0,,0,,5,52.5,Annual,ACT,14.71,28,TRUE,FALSE,Yes
SE-00009797,PR-40004076,Above NQS,Centre-Based Care,ACT,90,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,52.5,0,,0,,5,52.5,Annual,QLD,11.22,19,TRUE,FALSE,No
SE-00009799,PR-00007250,Meeting NQS,Centre-Based Care,ACT,16,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,50,0,,0,,5,50,Annual,WA,14.13,71,TRUE,FALSE,No
SE-00009800,PR-00005841,Above NQS,Centre-Based Care,ACT,62,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,50,0,,0,,5,50,Annual,ACT,14.71,1,TRUE,FALSE,Yes
SE-00009801,PR-00004547,Above NQS,Centre-Based Care,ACT,55,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,50,0,,0,,5,50,Annual,NSW,17.05,116,TRUE,FALSE,No
SE-00009802,PR-00010064,Meeting NQS,Centre-Based Care,ACT,90,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,57.5,0,,0,,5,57.5,Annual,QLD,1.52,9,TRUE,TRUE,No
SE-00009803,PR-40013781,Meeting NQS,Centre-Based Care,ACT,120,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,55,0,,0,,5,55,Annual,ACT,8.76,2,TRUE,FALSE,Yes
SE-00009804,PR-00000823,Meeting NQS,Centre-Based Care,ACT,102,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,60,0,,0,,5,60,Annual,NSW,15.07,154,FALSE,FALSE,No
SE-00009807,PR-00005883,Meeting NQS,Centre-Based Care,ACT,77,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,52.5,0,,0,,5,52.5,Annual,ACT,14.71,13,TRUE,FALSE,Yes
SE-00009808,PR-40001112,Meeting NQS,Centre-Based Care,ACT,92,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,55,0,,0,,5,55,Annual,QLD,12.96,219,FALSE,TRUE,No
SE-00009809,PR-00005856,Above NQS,Centre-Based Care,ACT,45,14.32,Yes,No,No,No,No,No,No,FALSE,No,5,50,0,,0,,5,50,Annual,ACT,14.71,3,TRUE,FALSE,Yes
SE-00009810,PR-00005847,Meeting NQS,Centre-Based Care,ACT,112,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,51.25,0,,0,,5,51.25,Annual,ACT,14.71,3,TRUE,FALSE,Yes
SE-00009811,PR-00005848,Above NQS,Centre-Based Care,ACT,77,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,47.5,0,,0,,5,47.5,Annual,ACT,14.71,1,TRUE,FALSE,Yes
SE-00009812,PR-40001430,Below NQS,Centre-Based Care,ACT,59,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,51.25,0,,0,,5,51.25,Annual,NSW,12.68,2,FALSE,FALSE,No
SE-00009814,PR-00010085,Above NQS,Centre-Based Care,ACT,88,14.71,Yes,Yes,No,No,No,No,No,FALSE,No,5,47.5,0,,5,47.5,5,47.5,Multiple schedules,ACT,1.9,12,TRUE,FALSE,Yes
SE-00009815,PR-40002776,Meeting NQS,Centre-Based Care,ACT,90,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,55,0,,0,,5,55,Annual,QLD,11.54,17,TRUE,FALSE,No
SE-00009817,PR-00005824,Below NQS,Centre-Based Care,ACT,99,14.71,Yes,No,No,Yes,Yes,Yes,No,FALSE,No,5,52.5,5,22.5,5,52.5,5,52.5,Multiple schedules,ACT,14.71,28,TRUE,FALSE,Yes
SE-00009818,PR-00005824,Meeting NQS,Centre-Based Care,ACT,108,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,52.5,5,22.5,5,52.5,5,52.5,Multiple schedules,ACT,14.71,28,TRUE,FALSE,Yes
SE-00009819,PR-00005825,Above NQS,Centre-Based Care,ACT,90,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,55,0,,0,,5,55,Annual,ACT,14.71,1,TRUE,FALSE,Yes
SE-00009820,PR-00000982,Meeting NQS,Centre-Based Care,ACT,120,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,112.5,0,,0,,5,112.5,Annual,QLD,14.71,3,FALSE,FALSE,No
SE-00009821,PR-00005852,Meeting NQS,Centre-Based Care,ACT,87,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,52.5,0,,0,,5,52.5,Annual,NSW,14.71,1,TRUE,FALSE,No
SE-00009822,PR-00005876,Meeting NQS,Centre-Based Care,ACT,35,14.71,No,No,No,Yes,Yes,No,No,FALSE,No,0,,5,31.5,0,,5,31.5,School terms,ACT,14.71,22,TRUE,FALSE,Yes
SE-00009823,PR-40004076,Meeting NQS,Centre-Based Care,ACT,80,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,55,0,,0,,5,55,Annual,QLD,11.22,19,TRUE,FALSE,No
SE-00009824,PR-00005857,Above NQS,Centre-Based Care,ACT,95,14.71,Yes,No,No,No,No,No,No,FALSE,No,5,50,0,,0,,5,50,Annual,ACT,14.71,1,TRUE,FALSE,Yes
SE-00009825,PR-00005829,Below NQS,Centre-Based Care,ACT,66,14.71,Yes,No,No,No,No,No,No,TRUE,No,5,52.5,0,,0,,5,52.5,Annual,ACT,14.71,1,TRUE,FALSE,Yes
