variable,n_levels,chi_square,df,p.value,cramers_v,pct_cells_expected_lt5,p_adjusted,strength,reliability_note
preschool_standalone,2,1373.822662004386,2,4.7664977124386387e-299,0.28275023962371393,0,7.626396339901822e-298,Moderate,
oshc_after_school,2,856.2799009713137,2,1.15128281414144e-186,0.223128002897991,0,1.72692422121216e-185,Moderate,
oshc_before_school,2,738.2196295230416,2,4.984759764216067e-161,0.20713699693992063,0,6.480187693480887e-160,Moderate,
oshc_vacation_care,2,622.9535195582667,2,5.337796183434897e-136,0.19023197612031884,0,5.871575801778386e-135,Weak,
operating_pattern,5,835.8760660188368,8,3.802979980188893e-175,0.1553224431746559,0,5.32417197226445e-174,Weak,
state,9,693.3043800574159,16,3.4397522789872267e-137,0.14048932148830023,11.1,4.127702734784672e-136,Weak,
preschool_part_school,2,330.020528464772,2,2.1724649905051732e-72,0.13826251372203854,0,1.955218491454656e-71,Weak,
provider_state,9,489.4969532712952,16,5.473252978697074e-94,0.11746536667612908,0,5.473252978697074e-93,Weak,
service_has_conditions,2,131.11007901557898,2,3.386944505144497e-29,0.08674289073140176,0,2.370861153601148e-28,Neglibile,
provider_state_matches_service,3,188.42138511493542,4,1.157448856520384e-39,0.0733089564139972,0,9.259590852163072e-39,Neglibile,
long_day_care,2,80.67643656656887,2,3.029244930490431e-18,0.06771362010683919,0,1.8175469582942588e-17,Neglibile,
service_type,2,73.93210057760652,2,8.827715775648177e-17,0.06474631162370423,0,4.413857887824089e-16,Neglibile,
provider_has_conditions,2,11.615158287414827,2,0.003004695210157187,0.023671708292413166,0,0.012018780840628749,Neglibile,
other_service,2,10.553175903978934,2,0.005109836088019696,0.022326197197583945,0,0.01532950826405909,Neglibile,
provider_has_trading_name,2,3.475239391176715,2,0.17593869023172926,0.009271886496552808,0,0.3518773804634585,Neglibile,
temporarily_closed,2,1.7590361062122968,2,0.4149828631966246,0,16.7,0.4149828631966246,Neglibile,
