variable,missing_count,missing_percent
holiday_weekly_hours,12398,72.25
school_term_weekly_hours,9433,54.97
annual_weekly_hours,6715,39.13
number_approved_places,307,1.79
max_weekly_hours,142,0.83
provider_state_matches_service,111,0.65
provider_state,110,0.64
service_age_years,1,0.01
state,1,0.01
annual_open_days,0,0
holiday_open_days,0,0
long_day_care,0,0
operating_pattern,0,0
oshc_after_school,0,0
oshc_before_school,0,0
oshc_vacation_care,0,0
other_service,0,0
preschool_part_school,0,0
preschool_standalone,0,0
provider_age_years,0,0
provider_has_conditions,0,0
provider_has_trading_name,0,0
provider_id,0,0
provider_service_count,0,0
rating_tier,0,0
school_term_open_days,0,0
service_has_conditions,0,0
service_id,0,0
service_type,0,0
temporarily_closed,0,0
weekly_open_days,0,0
