variable,rating_tier,n,observed,missing,missing_percent,min,q1,median,q3,max,mean,sd,iqr_flags,negative,zero
number_approved_places,Below NQS,1264,1209,55,4.351265822784811,9,39,60,90,470,68.94706368899918,42.052047261351504,25,0,0
number_approved_places,Meeting NQS,12748,12514,234,1.835582052086602,6,40,64,91,477,71.23261946619786,40.087788110506864,282,0,0
number_approved_places,Above NQS,3148,3130,18,0.5717916137229987,11,35,54,79,400,63.35623003194888,40.05418909929604,135,0,0
provider_age_years,Below NQS,1264,1264,0,0,0.12,8.15,13.055,14.71,17.66,11.313575949367088,4.524134737175482,0,0,0
provider_age_years,Meeting NQS,12748,12748,0,0,0.15,9.26,14.13,14.72,19.44,12.034304989017885,4.248166435353253,60,0,0
provider_age_years,Above NQS,3148,3148,0,0,0.27,14.13,14.71,15.74,19.1,14.038777001270649,3.2340896218354613,481,0,0
provider_service_count,Below NQS,1264,1264,0,0,1,1,2,20,611,45.147943037974684,111.211002344551,216,0,0
provider_service_count,Meeting NQS,12748,12748,0,0,1,1,8,76,611,91.99356761844996,162.61081224484175,2333,0,0
provider_service_count,Above NQS,3148,3148,0,0,1,1,4,56,611,72.49078780177891,145.6255178964662,460,0,0
service_age_years,Below NQS,1264,1264,0,0,1.27,6.83,13.585,14.71,20.03,11.457856012658228,5.260477859266587,0,0,0
service_age_years,Meeting NQS,12748,12748,0,0,1.04,7.87,14.71,14.71,32.22,11.993157358016944,4.982512446840123,1,0,0
service_age_years,Above NQS,3148,3147,1,0.03176620076238882,1.19,14.62,14.71,16.02,20.87,14.245319351763586,3.7667590738658046,992,0,0
