variable,service_type,rating_tier,n,observed,missing,missing_percent,min,q1,median,q3,max,mean,sd,iqr_flags,negative,zero
number_approved_places,Centre-Based Care,Below NQS,1209,1209,0,0,9,39,60,90,470,68.94706368899918,42.052047261351504,25,0,0
number_approved_places,Centre-Based Care,Meeting NQS,12514,12514,0,0,6,40,64,91,477,71.23261946619786,40.087788110506864,282,0,0
number_approved_places,Centre-Based Care,Above NQS,3130,3130,0,0,11,35,54,79,400,63.35623003194888,40.05418909929604,135,0,0
number_approved_places,Family Day Care,Below NQS,55,0,55,100,,,,,,,,0,0,0
number_approved_places,Family Day Care,Meeting NQS,234,0,234,100,,,,,,,,0,0,0
number_approved_places,Family Day Care,Above NQS,18,0,18,100,,,,,,,,0,0,0
provider_age_years,Centre-Based Care,Below NQS,1209,1209,0,0,0.12,7.77,13.04,14.71,17.66,11.248453267162946,4.5880276829531415,0,0,0
provider_age_years,Centre-Based Care,Meeting NQS,12514,12514,0,0,0.15,9.26,14.13,14.72,19.44,12.011241010068723,4.264872918097475,59,0,0
provider_age_years,Centre-Based Care,Above NQS,3130,3130,0,0,0.27,14.13,14.71,15.74,19.1,14.034610223642172,3.2407370060085725,480,0,0
provider_age_years,Family Day Care,Below NQS,55,55,0,0,5.26,12.219999999999999,13.07,13.985,17.05,12.745090909090909,2.3749946375980575,7,0,0
provider_age_years,Family Day Care,Meeting NQS,234,234,0,0,0.37,12.3325,13.74,14.71,17.05,13.267735042735042,2.9883109182427163,19,0,0
provider_age_years,Family Day Care,Above NQS,18,18,0,0,10.61,14.335,14.72,14.72,17.05,14.763333333333334,1.6104402028820641,8,0,0
provider_service_count,Centre-Based Care,Below NQS,1209,1209,0,0,1,1,2,21,611,47.043010752688176,113.3221896997454,203,0,0
provider_service_count,Centre-Based Care,Meeting NQS,12514,12514,0,0,1,1,9,80,611,93.60068723030206,163.62405515707064,2331,0,0
provider_service_count,Centre-Based Care,Above NQS,3130,3130,0,0,1,1,4,63.25,611,72.88690095846646,145.94936228435884,432,0,0
provider_service_count,Family Day Care,Below NQS,55,55,0,0,1,1,1,1,88,3.4909090909090907,12.033706869045009,10,0,0
provider_service_count,Family Day Care,Meeting NQS,234,234,0,0,1,1,1,2,382,6.047008547008547,35.304954904350325,44,0,0
provider_service_count,Family Day Care,Above NQS,18,18,0,0,1,1,2,3.5,19,3.611111111111111,4.704677133247783,3,0,0
service_age_years,Centre-Based Care,Below NQS,1209,1209,0,0,1.27,6.75,13.8,14.71,20.03,11.415334987593052,5.346431059496484,0,0,0
service_age_years,Centre-Based Care,Meeting NQS,12514,12514,0,0,1.04,7.75,14.71,14.71,32.22,11.968356241010069,5.003010931420707,1,0,0
service_age_years,Centre-Based Care,Above NQS,3130,3129,1,0.03194888178913738,1.19,14.62,14.71,16.02,20.87,14.23945669542985,3.7727989499842143,988,0,0
service_age_years,Family Day Care,Below NQS,55,55,0,0,4.7,11.3,12.56,13.79,19.56,12.392545454545456,2.6191150740362232,4,0,0
service_age_years,Family Day Care,Meeting NQS,234,234,0,0,2.25,11.525,13.36,14.71,20.08,13.31948717948718,3.4842071274110387,20,0,0
service_age_years,Family Day Care,Above NQS,18,18,0,0,11.79,14.71,14.71,14.71,20.01,15.264444444444445,2.3533086151009814,8,0,0
