scale_band,rating_tier,n,total,percent
1,Below NQS,537,5321,10.09208795339222
1,Meeting NQS,3611,5321,67.86318361210299
1,Above NQS,1173,5321,22.044728434504794
2-5,Below NQS,259,2990,8.6622073578595309
2-5,Meeting NQS,2259,2990,75.55183946488295
2-5,Above NQS,472,2990,15.785953177257525
6-20,Below NQS,158,2191,7.211319032405294
6-20,Meeting NQS,1710,2191,78.04655408489275
6-20,Above NQS,323,2191,14.742126882701962
21-100,Below NQS,167,2838,5.884425651867512
21-100,Meeting NQS,2130,2838,75.05285412262157
21-100,Above NQS,541,2838,19.062720225510922
101+,Below NQS,143,3820,3.743455497382199
101+,Meeting NQS,3038,3820,79.52879581151832
101+,Above NQS,639,3820,16.727748691099478
